"item_name","bullet_point","product_type","product_category","link","color","material","item_id","primary_key","item_keywords"
"Jarrón de cerámica beige Yure","El Yure jarrón en color beige de estilo vintage es una apuesta ganadora. Fabricado en gres, este jarrón está disponible en dos colores. Sin duda llenará de tendencia tu espacio. Y es que un jarrón es siempre un elemento decorativo indispensable. ¡Elige el tuyo!","Jarrón decorativo","Inicio > Decoración > Objetos de decoración > Jarrones","https://klasthome.com/es/jarrones/117-jarron-de-ceramica-beige?channable=04a95469640031313793","Beige","Ceramica","IT-0056BE","117","Jarrón de cerámica beige"
"Jarrón de cerámica azul Marin","El Marin jarrón azul de cerámica es un jarrón de estilo vintage que te ayudará a decorar aportando un toque de personalidad a tu hogar. 
Lo puedes combinar con otros jarrones que encontrarás en Klast y crear así tu propio estilo. Solo o acompañado ¡Tú decides!","Jarrón decorativo","Inicio > Decoración > Objetos de decoración > Jarrones","https://klasthome.com/es/jarrones/119-jarron-de-ceramica-azul?channable=04a95469640031313995","Azul","Ceramica","IT-0031","119","Jarrón de cerámica azul"
"Jarrón de cerámica azul Tarin","El Tarin jarrón azul de cerámica es un elemento ideal para completar la decoración de tu hogar. Versátil y funcional, lo puedes utilizar como elemento ornamental o bien como un bonito florero. Un complemento ideal que no puede faltar. Acierto seguro.","Jarrón decorativo","Inicio > Decoración > Objetos de decoración > Jarrones","https://klasthome.com/es/jarrones/120-jarron-de-ceramica-azul?channable=04a9546964003132300c","Azul","Ceramica","IT-0032","120","Jarrón de cerámica azul"
"Jarrón de cerámica verde Ror","El Ror jarrón verde de estilo vintage aportará un toque de elegancia y sofisticación a tu hogar. Sus formas redondeadas y sencillas dan ese toque personal que estás buscando. Sin duda un accesorio decorativo que llenará de vida tu estancia.","Jarrón decorativo","Inicio > Decoración > Objetos de decoración > Jarrones","https://klasthome.com/es/jarrones/121-jarron-de-ceramica-verde?channable=04a9546964003132310d","Verde","Ceramica","IT-0033","121","Jarrón de cerámica verde"
"Jarrón de cerámica marrón Yure","El Yure jarrón de color marrón y estilo vintage te ayudará a decorar cualquier estancia de tu hogar. Está fabricado en gres, material de gran resistencia y versatilidad. Puedes utilizarlo tanto como jarrón como macetero. Lo puedes combinar con el mismo jarrón en color beige o con cualquier otro que puedas encontrar en nuestra página.","Jarrón decorativo","Inicio > Decoración > Objetos de decoración > Jarrones","https://klasthome.com/es/jarrones/122-jarron-de-ceramica-marron?channable=04a9546964003132320e","Marrón","Ceramica","IT-0056M","122","Jarrón de cerámica marrón"
"Jarrón de cristal transparente Rist","El Rist jarrón de cristal de estilo moderno te ayudará a decorar cualquier mueble que desees. Su diseño sencillo sirve de complemento ideal. Lo puedes utilizar como elemento ornamental o bien como florero. Sin duda uno de nuestros best seller que no pueden faltar en tu hogar.","Jarrón decorativo","Inicio > Decoración > Objetos de decoración > Jarrones","https://klasthome.com/es/jarrones/123-jarron-de-cristal-transparente?channable=04a9546964003132330f","Transparente","Cristal","IT-0114","123","Jarrón de cristal transparente"
"Jarrón de cerámica azul Bla","El Bla jarrón azul de estilo natural aportará un toque de elegancia y sofisticación a tu hogar. Sus formas redondeadas y sencillas dan ese toque personal que estás buscando. Sin duda un accesorio decorativo que llenará de vida tu estancia.","Jarrón decorativo","Inicio > Decoración > Objetos de decoración > Jarrones","https://klasthome.com/es/jarrones/125-jarron-de-ceramica-azul?channable=04a95469640031323511","Azul","Ceramica","IT-0116A","125","Jarrón de cerámica azul"
"Jarrón de cerámica rosa Vas","El jarrón de cerámica rosa Vas es el objeto que destaca en cualquier sitio que la pongas, es bonito por si mismo, en una estantería, encima de un mueble de TV con una lámina, en la mesa del comedor... Tiene un estilo moderno y destaca su degradado de tonos neutros hasta conseguir ese rosa palo tan natural.","Jarrón decorativo","Inicio > Decoración > Objetos de decoración > Jarrones","https://klasthome.com/es/jarrones/128-jarron-de-ceramica-rosa?channable=04a95469640031323814","Rosa","Ceramica","IT-0118","128","Jarrón de cerámica rosa"
"Jarrón de cerámica rosa Das","El jarrón de cerámica rosa Das es el objeto que destaca en cualquier sitio que la pongas, es bonito por si mismo, en una estantería, encima de un mueble de TV con una lámina, en la mesa del comedor... Tiene un estilo moderno y destaca su degradado de tonos neutros hasta conseguir ese rosa palo tan natural.","Jarrón decorativo","Inicio > Decoración > Objetos de decoración > Jarrones","https://klasthome.com/es/jarrones/129-jarron-de-ceramica-rosa?channable=04a95469640031323915","Rosa","Ceramica","IT-0119","129","Jarrón de cerámica rosa"
"Jarrón de cerámica gris oscuro Totem","El Totem jarrón de color gris oscuro de estilo moderno está fabricado en cerámica. Un complemento perfecto para decorar tu salón, comedor o recibidor. Su diseño, elegante y a la vez sofisticado con la silueta de un rostro, aportará ese toque de distinción que hará única tu estancia.","Jarrón decorativo","Inicio > Decoración > Objetos de decoración > Jarrones","https://klasthome.com/es/jarrones/136-jarron-de-ceramica-gris-oscuro?channable=04a95469640031333693","Gris Oscuro","Ceramica","IT-0017GO","136","Jarrón de cerámica gris oscuro"
"Lámpara de techo para salón color natural Scar","La lámpara de techo Scar evoca el estilo de decoración de los países nórdicos aportando una bonita luz. Se presenta en varias versiones de acabado lo que te permite crear ambientes distintos. Es muy versátil ya que la puedes utlizar en el comedor, salón o dormitorio de tu casa. 
No incluye bombilla.","Lámpara de techo","Inicio > Lámparas > Lámparas de techo","https://klasthome.com/es/lamparas-de-techo/137-lampara-de-techo-para-salon-color-natural?channable=04a95469640031333794","Natural","Madera","CC-0001","137","Lámpara de techo para salón color natural"
"Lámpara de techo para salón blanco Tunn","La lámpara de techo Tunn evoca el estilo de decoración de los países nórdicos aportando una bonita luz. Se presenta en varias versiones de acabado lo que te permite crear ambientes distintos. Es muy versátil ya que la puedes utlizar en el comedor, salón o dormitorio de tu casa.
No incluye bombilla.","Lámpara de techo","Inicio > Lámparas > Lámparas de techo","https://klasthome.com/es/lamparas-de-techo/138-lampara-de-techo-para-salon-blanco?channable=04a95469640031333895","Blanco","Madera y metal","CC-0002B","138","Lámpara de techo para salón blanco"
"Lámpara de techo para salón negra Tunn","La lámpara de techo Tunn evoca el estilo de decoración de los países nórdicos aportando una bonita luz. Se presenta en varias versiones de acabado lo que te permite crear ambientes distintos. Es muy versátil ya que la puedes utlizar en el comedor, salón o dormitorio de tu casa. 
No incluye bombilla.","Lámpara de techo","Inicio > Lámparas > Lámparas de techo","https://klasthome.com/es/lamparas-de-techo/139-lampara-de-techo-para-salon-negra?channable=04a95469640031333996","Negro","Madera y metal","CC-0002NE","139","Lámpara de techo para salón negra"
"Lámpara de techo para salón blanco Minimal","La lámpara de techo Minimal se presenta como un homenaje al estilo industrial. Su diseño sencillo es muy elegante y ofrece una distribución luminosa  uniforme. Es una luminaria que resulta ideal para aquellos que buscan funcionlidad. Consigue ese toque distinto colocándola en el comedor, salón o dormitorio de tu casa. 
No incluye bombilla.","Lámpara de techo","Inicio > Lámparas > Lámparas de techo","https://klasthome.com/es/lamparas-de-techo/140-lampara-de-techo-para-salon-blanco?channable=04a9546964003134300d","Blanco","Metal","CC-0003B","140","Lámpara de techo para salón blanco"
"Lámpara de techo para salón negra Minimal","La lámpara de techo Minimal se presenta como un homenaje al estilo industrial. Su diseño sencillo es muy elegante y ofrece una distribución luminosa  uniforme. Es una luminaria que resulta ideal para aquellos que buscan funcionlidad. La puedes encontrar en color negro o blanco, tú decides cuál se integra mejor en el salón, comedor o dormitorio de tu casa. 
No incluye bombilla.","Lámpara de techo","Inicio > Lámparas > Lámparas de techo","https://klasthome.com/es/lamparas-de-techo/141-lampara-de-techo-para-salon-negra?channable=04a9546964003134310e","Negro","Metal","CC-0003NE","141","Lámpara de techo para salón negra"
"Lámpara de techo para salón blanco Netto","La lámpara de techo Netto es perfecta para completar cualquier estancia de tu casa, ya sea comedor, salón o dormitorio. Está fabricada en un fino metal y su diseño moderno permite combinarla con cualquier mueble y ambiente. Es una luminaria de tendencia que quedará ideal.
No incluye bombilla.","Lámpara de techo","Inicio > Lámparas > Lámparas de techo","https://klasthome.com/es/lamparas-de-techo/142-lampara-de-techo-para-salon-blanco?channable=04a9546964003134320f","Blanco","Metal","CC-0004B","142","Lámpara de techo para salón blanco"
"Lámpara de techo para salón negra Netto","La lámpara de techo Netto es una bonita lámpara de estilo moderno perfecta para ser la protagonista de tu comedor o salón. Está elaborada en un fino metal en color negro que, combinado con muebles en color madera , aportará un ambiente acogedor a tu hogar.
No incluye bombilla.","Lámpara de techo","Inicio > Lámparas > Lámparas de techo","https://klasthome.com/es/lamparas-de-techo/143-lampara-de-techo-para-salon-negra?channable=04a95469640031343310","Negro","Metal","CC-0004NE","143","Lámpara de techo para salón negra"
"Aplique de pared color natural Glod","El aplique de pared Glod es la opción perfecta para aportar un ambiente cálido y acogedor a tu estancia. Combina varios materiales, la madera y el metal, proporcionando un estilo nórdico que potenciará la decoración de tu hogar. Colócalo en el salón, comedor, dormitorio o recibidor y presume de estilo.
No incluye bombilla.","Aplique de pared","Inicio > Lámparas > Apliques de pared","https://klasthome.com/es/apliques-de-pared/144-aplique-de-pared-color-natural?channable=04a95469640031343411","Natural","Madera","CC-0005","144","Aplique de pared color natural"
"Espejo redondo de pared 50d Luka","El espejo decorativo en ratán Luka aportará un toque distintivo a tu hogar. Su diseño en materiales naturales y varios colores aportará un toque cálido a cualquier estancia la que decidas colocarlo.","Espejo de pared","Inicio > Decoración > Espejos decorativos > Espejos de pared","https://klasthome.com/es/espejos-de-pared/145-espejo-redondo-de-pared-50d?channable=04a95469640031343512","Beige","Fibra natural","FD-0003","145","Espejo redondo de pared 50d"
"Espejo redondo de pared 70d Zen","El espejo decorativo Zen está realizado con varillas y mimbre para crear esa forma tan bonita y peculiar. Su diseño confirma el éxito de los materiales naturales como tendencia que añade un toque de equilibrio y armonía a los interiores de nuestro hogar.","Espejo de  pared","Inicio > Decoración > Espejos decorativos > Espejos de pared","https://klasthome.com/es/espejos-de-pared/148-espejo-redondo-de-pared-70d?channable=04a95469640031343815","Natural","Fibra natural","FD-0030","148","Espejo redondo de pared 70d"
